Block ID,Question,Participant ID,User Comment
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472238514,si
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472149596,Para que el cliente esté informado de los procesos
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472220230,Considero que de ese modo vamos avanzando en el proceso.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472217941,esta muy bien
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472211825,Porque mi entra menos complicada es la app más rápido las personas pueden acceder como la primera estuvo Perfecto
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472201441,Los considero así porque ya e rodando préstamo personales con ustedes y tengo uno es curso
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472199148,Porque considero que desde mi punto de vista los calificó con esa puntuación porque ya es tomado préstamo y tengo un en curso
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472199031,Porque esta en una escala de término medio para mi.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472174901,Lo considero importante saber cosas necesarias
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472187011,Mientras mas claridad tenga el proceso mayor es la satisfacción del cliente.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472191344,Es bueno estar siempre informado de todo con claridad
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472188139,mientras mas transparencia exista mas seguridad le brindara al cliente
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472186988,Porque me gusta la claridad
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472186725,Porque es importante que el cliente conozca todos los detalles
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472177782,Por la razón q me gustó su comentario y su prueba
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472183932,Para más claridad
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 471907641,Ayuda a entener mas el proceso del prestamo y evita a que tenga que visitar una sucursal en caso de que tenga alguna pregunta
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 450307300,Porque es importante que el cliente sepa todos los detalles
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 471798623,Ayudaría a darle mayor información al usuario
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472177937,Confianza en esta entidad.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472154675,Fue útil
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472168995,"Porque es muy importante saber datos que en el futuro , luego que tome el préstamo, resulte dudoso no se me aclarò en el momento oportuno"
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472170229,Porque pudiera existir dudas sobre los seguros
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 449228582,Me fue util
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472169236,Porque se debe ser claro al usuario con respecto a cada acción que permita realizar una aplicación.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472168314,Porque puedo tener de primera instancia la información que pudiera necesitar sin tener que buscar en otro aldo
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472165120,"Porque debes saber el monto, tasa, productos disponibles, etc"
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472118661,Me parece que un listado de preguntas frecuentes pudiera ayudar a los que no conocen mucho de estas cosas antes de iniciar el proceso
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472120161,Porque así va conociendo el cliente y las necesidades del mismo.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472121123,Test
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 449165636,Test
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472124103,Para tener claridad de loq ue voy a solicitar
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472126434,da mayor credibilidad y criterio de autenticacion
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472137757,Porquele falta información
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 471696699,"Mientras más clara es la información, más fácil se le hace al cliente continuar el proceso"
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472141368,Es de suma importancia tener claro las condiciones/beneficios que tendremos al momento de adquirir un préstamo ya que tendremos que cumplir a tiempo con esta obligación financiera para así poder reflejar un buen comportamiento de pago en el buró.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472138086,Considero que sería bueno colocar las informaciones en vez de preguntas.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472145190,Ok
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472143230,Test
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 471887798,Por la seguridad de sus productos y con excelente calidad en servicios brindados.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472147992,Porque estuve muy satisfecho
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472145545,Me parecieron correctas
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472150112,Excelente como profesional de la industrias de la tecnologia aprecio bie el diseño y el flujo entre pantalla
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472150124,Porque en ocasiones existen dudas que serían necesarias aclarar
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472150368,Porque me parece funcional ágil y eficiente
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472150123,Porque me gusta mucho
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472151867,Es fácil
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472152621,"Se requiere conocer todos los requisitos del préstamo para no tener ""sorpresas"" luego."
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472151186,Por la importancia de la información que se debe suministrar
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472153074,Porque depende en gran manera de la informacion recibida la aprobacion o rechazo del prestamo
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472153135,Porque es muy útil pero puede que personas no lo entiendan
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472153323,si es mui buena y con mucha madurez y responsabilidad
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472153668,"La experiencia fue buena, pero no excelente."
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472155053,Para que las personas tengan mayor claridad y conocimiento sobre lo que están haciendo
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472155057,Es necesario para que el cliente esté seguro
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472152948,Es fácil y rápido me gusta la idea
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472157347,Agilidad de tener a mano rápidamente recursos líquidos
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472157390,Informacion importante
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472157460,Es bueno por seguridad
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472158856,Agilidad de contar con recursos líquidos cuando se necesitan
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472159225,Porque sería interesante obtener más información
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472159841,Porque pienso ya de por sí es bastante claro y que se cae de la mata ya que yo estoy siendo consciente de lo que estoy queriendo adquirir
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 471048348,Entiendo que las preguntas podrían ir previo a aceptar las condiciones y aceptar el uso de mi data.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472159681,Porque permite al cliente tener toda la información y sin aceptes ocultos.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472159367,Si es importante
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472160102,No entiendo la finalidad
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 470514976,Porque considero que es importante saber toda la información relevante del cliente
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472162133,Entiendo que a nivel de diseño puede ser más atractiva para el usuario final
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472162365,Los detalles
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472157421,Es mas facil de ver las opciones
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 471247886,Porque me llamó mucho ala atención
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472160442,SI SOY CLIENTE NO VEO NECESARIO PREGUNTAR MUCHO
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472161404,PREVIOUS
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472547199,"Claro que sí, en ocasiones se nos presentan emergencias inesperadas, tener un flujo disponible para ser retirado en un plazo menor de 48 horas es una solución viable."
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 473803620,Por supuesto.
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 473692197,"Así es, solo tienen que terminar de ajustar ciertos detalles en el rpcoeso. Sé que es un prototipo, pero cuando quería marcar un cotejo el proceso continuaba como si no hubiera hecho nada."
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 473136371,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 473046238,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 470534995,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 473040549,No es muy largo
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 473032251,Por supuesto
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 473011218,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472654994,"Si, obvio; para invertir en el Negocio y hacer un apalancamiento. El dinero es una herrramienta útil para usarlo en general ganancias"
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472562969,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472118661,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472120161,test
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472124103,Test
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 449165636,"La pregunta está redundante, si necesito un préstamo, obviamente que lo utilizaría porque por algo lo solicité, de no necesitarlo, no lo hubiera solicitado."
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472121123,si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472126434,claro
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472137757,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 471696699,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472141368,Es probable.
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472138086,Ok
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472143230,Pudiera ser si la tasa es competitivas con mis otras ofertas vigente de mercado
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472150124,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472150368,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472151867,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472152621,Quizás. Requiero conocer como será el proceso definitivo
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472151186,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472153323,"Totalmente, sería una manera eficiente de ahorrar tiempo y dinero desplazándome en persona a las instalaciones."
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472155053,"Claro que sí, rapidez"
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472157347,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472152948,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472150123,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472159841,Por supuesto
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 471048348,Correcto
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472159225,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472159681,"Si, claro que si, porque la facilidad de hacerlo digital mente además de la claridad de las informaciones."
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472159367,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472162365,Todos depende
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472160442,SI
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472161404,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472165120,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472170229,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 449228582,Sí
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472177937,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 450307300,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472168267,si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472177782,si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472186988,si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472191344,Si.
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472174901,"Si, por supuesto."
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472168314,Claro que si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472208642,"Si, por supuesto"
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 463129649,"No estoy seguro, prefiero los préstamos personales físicos."
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472403680,"No estoy seguro, me gustan más los préstamos personales físico que digitales."
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472407839,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472410698,Muy probablemente lo haría
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472275898,Si
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Participant 472506609,PREVIOUS
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472562969,No veo la necesidad de mejoras por el momento
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 473803620,Nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 473692197,"Si es como lo presentan es fácil y claro de seguir. Es bueno que validen bien cuando uno quiera evaluar una opción o la otra que el proceso no continue. Ej. tasa fija o variable, que pueda ver el monto a pagar antes de tomar la decisión."
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 473136371,Nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 473046238,"Entiendo que para, lo que estan buscando esta adecuado."
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 473040549,Nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 470534995,Lo veo bien pero me hicieron muchas preguntas pero me gusta que sea todo digital yo no lo usaría pero lo recomendaría.
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 473032251,Nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 473011218,Todo bien
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472654994,...
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472118661,no sabria decir
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472120161,test
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472124103,Test
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 449165636,Por el momento nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472121123,la información y la claridad de los pasos no se entiende bien esta algo cofuso
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472126434,el contenido se siente empaquetado y puede ser poco amigable
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472137757,Todo
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 471696699,Por el momento nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472141368,Nada.
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472138086,Ok
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472143230,el flujo esta perfecto mejoraria el cms de la app y la web de ustedes
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472150368,Nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472151867,Está bien
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472152621,Su calidad de información sobre los requisitos reales para acceder a un préstamos personal
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472151186,Nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472153323,"Agilizar el proceso, agregando la opción para adjuntar estados de cuenta, etc. si lo tenía no me percaté."
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472155053,Por ahora nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472152948,Que se validen rápido las informaciones
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472157347,El tiempo ya que cada paso conlleva una espera significativa
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472150123,Entiendo que así está perfecto
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472159841,"Mejorar el tema de la personalización de los plazos y eso, ya que yo solicité un monto en especifico y ahí me pusieron un monto preaprobado, si yo lo que necesito son 100 mil, déjamelos ahí y ponme la opción de que podría optar por los 300 mil, pero no ponerme directamente los 300 mil"
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 471048348,Lo noto claro y preciso
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472159225,"No se ahora mismo, tendría que ver todo el proceso junto y no por separado"
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472159681,El tiempo de 8 horas para el desembolso.
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472159367,Hay preguntas que si se supones que ya eres un cliente de ACAP no tengo porque volver a llenarla
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472162365,Más explicación
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472160442,QUE FUERA MAS RAPIDO EN OPERAR POR INTERNET Y SEA DENTRO DE LA APP
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472161404,Tuve confusión con el ajuste del monto y el plazo. Quizá un poco más de claridad en este paso
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472165120,Lo veo funcional y bien explicado
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472170229,N/A
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 449228582,n/a
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 450307300,No tendria que mejorar. Lo veo facil de usar y solo requiere informacion necesaria.
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472168267,Nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472177782,nada
2f19c5fb,¿Qué mejorarías en el flujo?,Participant 472186988,"Nada, me parece bien optimizado."
