Block ID,Question/Title,Type,Metric 1,Value 1,Metric 2,Value 2,Metric 3,Value 3,User Comments
68abc027,Completar datos personales,Prototype Test • Screen-based,Success Rate,98.5%,Misclick Rate,4.7%,Avg Duration,43.6s,
a569548d,"¿El formulario te pareció largo, corto o adecuado?",Multiple Choice,Result 1,83%,Result 2,9%,,,
68d86305,Seleccionar monto y plazo,Prototype Test • Screen-based,Success Rate,98.4%,Misclick Rate,8.7%,Avg Duration,44.4s,
43b5092f,¿Entendiste fácilmente cómo ajustar el monto y plazo?,Multiple Choice,Result 1,83%,Result 2,17%,,,
aae81dea,Que tan importante y útil te parece esta funcionalidad?,Opinion Scale,Average Score,4.8,Total Responses,62,,,
d2bf3381,Confirmar y enviar solicitud,Prototype Test • Screen-based,Success Rate,100.0%,Misclick Rate,7.7%,Avg Duration,52.1s,
f6ec4ac5,¿Sabes qué ocurrirá después de enviar la solicitud?,Multiple Choice,Result 1,50%,Result 2,34%,,,
f9f69cbe,"Imagina que necesitas solicitar un préstamo. Si este flujo estuviese disponible el día de mañana y necesitarías ese préstamo, lo utilizarías?",Open Question,Comment Count,58,,,,,"Participant 472547199: Claro que sí, en ocasiones se nos presentan emergencias inesperadas, tener un flujo disponible para ser retirado en un plazo menor de 48 horas es una solución viable. | Participant 473803620: Por supuesto. | Participant 473692197: Así es, solo tienen que terminar de ajustar ciertos detalles en el rpcoeso. Sé que es un prototipo, pero cuando quería marcar un cotejo el proceso continuaba como si no hubiera hecho nada. | Participant 473136371: Si | Participant 473046238: Si | Participant 470534995: Si | Participant 473040549: No es muy largo | Participant 473032251: Por supuesto | Participant 473011218: Si | Participant 472654994: Si, obvio; para invertir en el Negocio y hacer un apalancamiento. El dinero es una herrramienta útil para usarlo en general ganancias | Participant 472562969: Si | Participant 472118661: Si | Participant 472120161: test | Participant 472124103: Test | Participant 449165636: La pregunta está redundante, si necesito un préstamo, obviamente que lo utilizaría porque por algo lo solicité, de no necesitarlo, no lo hubiera solicitado. | Participant 472121123: si | Participant 472126434: claro | Participant 472137757: Si | Participant 471696699: Si | Participant 472141368: Es probable. | Participant 472138086: Ok | Participant 472143230: Pudiera ser si la tasa es competitivas con mis otras ofertas vigente de mercado | Participant 472150124: Si | Participant 472150368: Si | Participant 472151867: Si | Participant 472152621: Quizás. Requiero conocer como será el proceso definitivo | Participant 472151186: Si | Participant 472153323: Totalmente, sería una manera eficiente de ahorrar tiempo y dinero desplazándome en persona a las instalaciones. | Participant 472155053: Claro que sí, rapidez | Participant 472157347: Si | Participant 472152948: Si | Participant 472150123: Si | Participant 472159841: Por supuesto | Participant 471048348: Correcto | Participant 472159225: Si | Participant 472159681: Si, claro que si, porque la facilidad de hacerlo digital mente además de la claridad de las informaciones. | Participant 472159367: Si | Participant 472162365: Todos depende | Participant 472160442: SI | Participant 472161404: Si | Participant 472165120: Si | Participant 472170229: Si | Participant 449228582: Sí | Participant 472177937: Si | Participant 450307300: Si | Participant 472168267: si | Participant 472177782: si | Participant 472186988: si | Participant 472191344: Si. | Participant 472174901: Si, por supuesto. | Participant 472168314: Claro que si | Participant 472208642: Si, por supuesto | Participant 463129649: No estoy seguro, prefiero los préstamos personales físicos. | Participant 472403680: No estoy seguro, me gustan más los préstamos personales físico que digitales. | Participant 472407839: Si | Participant 472410698: Muy probablemente lo haría | Participant 472275898: Si | Participant 472506609: PREVIOUS"
380037b8,Califica tu experiencia general con este flujo digital.,Opinion Scale,Average Score,4.6,Total Responses,58,,,
635b95b6,¿Qué tan simple te resultó obtener el crédito?,Opinion Scale,Average Score,4.7,Total Responses,58,,,
2f19c5fb,¿Qué mejorarías en el flujo?,Open Question,Comment Count,57,,,,,"Participant 472562969: No veo la necesidad de mejoras por el momento | Participant 473803620: Nada | Participant 473692197: Si es como lo presentan es fácil y claro de seguir. Es bueno que validen bien cuando uno quiera evaluar una opción o la otra que el proceso no continue. Ej. tasa fija o variable, que pueda ver el monto a pagar antes de tomar la decisión. | Participant 473136371: Nada | Participant 473046238: Entiendo que para, lo que estan buscando esta adecuado. | Participant 473040549: Nada | Participant 470534995: Lo veo bien pero me hicieron muchas preguntas pero me gusta que sea todo digital yo no lo usaría pero lo recomendaría. | Participant 473032251: Nada | Participant 473011218: Todo bien | Participant 472654994: ... | Participant 472118661: no sabria decir | Participant 472120161: test | Participant 472124103: Test | Participant 449165636: Por el momento nada | Participant 472121123: la información y la claridad de los pasos no se entiende bien esta algo cofuso | Participant 472126434: el contenido se siente empaquetado y puede ser poco amigable | Participant 472137757: Todo | Participant 471696699: Por el momento nada | Participant 472141368: Nada. | Participant 472138086: Ok | Participant 472143230: el flujo esta perfecto mejoraria el cms de la app y la web de ustedes | Participant 472150124: . | Participant 472150368: Nada | Participant 472151867: Está bien | Participant 472152621: Su calidad de información sobre los requisitos reales para acceder a un préstamos personal | Participant 472151186: Nada | Participant 472153323: Agilizar el proceso, agregando la opción para adjuntar estados de cuenta, etc. si lo tenía no me percaté. | Participant 472155053: Por ahora nada | Participant 472152948: Que se validen rápido las informaciones | Participant 472157347: El tiempo ya que cada paso conlleva una espera significativa | Participant 472150123: Entiendo que así está perfecto | Participant 472159841: Mejorar el tema de la personalización de los plazos y eso, ya que yo solicité un monto en especifico y ahí me pusieron un monto preaprobado, si yo lo que necesito son 100 mil, déjamelos ahí y ponme la opción de que podría optar por los 300 mil, pero no ponerme directamente los 300 mil | Participant 471048348: Lo noto claro y preciso | Participant 472159225: No se ahora mismo, tendría que ver todo el proceso junto y no por separado | Participant 472159681: El tiempo de 8 horas para el desembolso. | Participant 472159367: Hay preguntas que si se supones que ya eres un cliente de ACAP no tengo porque volver a llenarla | Participant 472162365: Más explicación | Participant 472160442: QUE FUERA MAS RAPIDO EN OPERAR POR INTERNET Y SEA DENTRO DE LA APP | Participant 472161404: Tuve confusión con el ajuste del monto y el plazo. Quizá un poco más de claridad en este paso | Participant 472165120: Lo veo funcional y bien explicado | Participant 472170229: N/A | Participant 449228582: n/a | Participant 472177937: . | Participant 450307300: No tendria que mejorar. Lo veo facil de usar y solo requiere informacion necesaria. | Participant 472168267: Nada | Participant 472177782: nada | Participant 472186988: Nada, me parece bien optimizado. | Participant 472191344: No tengo observaciones. | Participant 472174901: . | Participant 472168314: Hasta ahora lo veo Perfecto con los detalles más importantes | Participant 472208642: Tener la oportunidad de leer contrato | Participant 463129649: Rapidez y eficiencia al momento del cliente solicitar el producto. | Participant 472407839: Todo esta bien | Participant 472410698: Lo veo fácil de entender para el usuario. | Participant 472275898: Nada que agregar | Participant 472506609: Esta todo claro | Participant 472547199: PREVIOUS"
7460e4b5,¿Qué información agregarías a este flujo?,Open Question,Comment Count,57,,,,,"Participant 472562969: Que se refleje la cuota mensual que el cliente pagaría una vez haya seleccionado el monto del flujo y el tiempo en el que lo pagaría | Participant 473803620: Ninguna | Participant 473692197: Al final pudiera dar un tiempo estimado de respuesta a la solicitud y la forma en la que notificaran su aprobación o no. | Participant 473136371: Un asistente digital, para personas que no saben bien las redes | Participant 473046238: Adjunto de notificaciones bancarias o estados de cuentas | Participant 473040549: Ninguna otra | Participant 470534995: No se decirle | Participant 473032251: Me parece todo correcto | Participant 473011218: Este está bien, pero aveces los usuarios 🤷 pregunta por algo que ven en su plataforma, y el agente externo no ve lo que el usuarios le explica | Participant 472654994: ... | Participant 472118661: no sabria decir | Participant 472120161: test | Participant 472124103: Test | Participant 449165636: Nada por el momento | Participant 472121123: lo mismo pero mas claro, preguntas frecuentes, etc | Participant 472126434: desahogar el contenido puede hacer que la experiencia se sienta menos tensa | Participant 472137757: Del producto | Participant 471696699: Ninguna | Participant 472141368: Desconozco que otra información seria vital para esto. | Participant 472138086: Ok | Participant 472143230: si | Participant 472150124: Nada | Participant 472150368: Nada | Participant 472151867: Si cobra penalidad por abono | Participant 472152621: Asi está Perfecto | Participant 472153323: Posibilidad de abonos a capital sin penalización, si es posible hacerlo. si puedo pagar directamente, sin que sea desde una cuenta que ustedes cobre, | Participant 472151186: Solo la parte del manejo de los estados financieros y capitalizar desde esa información. | Participant 472155053: Por ahora nada | Participant 472152948: Nada | Participant 472157347: En caso de tener préstamos activos en la entidad podría hacer la unificación del monto para lograr otras metas | Participant 472150123: Ninguna | Participant 472159841: Creo que está bien con lo que hay | Participant 471048348: Ninguna | Participant 472159225: Las preguntas frecuentes y el tarifario | Participant 472159681: Está todo bien | Participant 472159367: N/A | Participant 472162365: Tener más información detallada | Participant 472160442: SI PODRIA SALDARLO EN CUALQUIER MOMENTO SIN CASTIGO | Participant 472161404: NA | Participant 472165120: Lo veo completo | Participant 472170229: Ninguna | Participant 449228582: Entiendo que está bien | Participant 472177937: . | Participant 450307300: No tengo nada que agregar | Participant 472168267: Nada | Participant 472177782: esta todo no necesito nada mas | Participant 472186988: Ninguna. | Participant 472191344: No tengo recomendaciones adicionales a las que aparecen en este. | Participant 472174901: . | Participant 472168314: Por ahora nada | Participant 472208642: Ninguna | Participant 463129649: Más que una información es una felicidad, como se trata de productos vía digital sería bueno si se incluyera la facilidad de un dictado (una voz que diga lo que está presente en la pantalla) así sería mucho más fácil para esas personas adultas que quizás no ven bien o personas que tienen alguna discapacidad en la vista. Aparte de que sería una gran facilidad sería un paso hacia delante contra las demás instituciones bancarias. | Participant 472407839: Ninguna | Participant 472410698: Nada más | Participant 472275898: Nothing to add | Participant 472506609: Nada todo en orden | Participant 472547199: PREVIOUS"
10107af5,Unknown,Unknown,,,,,,,
f9c9532,"¿Qué tan importante y útil es para ti solicitar y recibir el desembolso del préstamo 100% digital en max 8 horas, sin papeleo",Opinion Scale,Average Score,4.8,Total Responses,56,,,
e18c940e,"¿Qué tan importante y útil es para ti gestionar el préstamo desde el app o web de Cibao (Pagos desde cualquier cuenta de Cibao o desde otro banco, reprogramación de cuota.)",Opinion Scale,Average Score,4.8,Total Responses,56,,,
4e5e0017,¿Qué tan importante y útil es para ti poder descargar el cronograma de pago y/o contrato?,Opinion Scale,Average Score,4.7,Total Responses,56,,,
8eff99a9,"¿Qué tan importante y útil es para ti ver el estado del préstamo en tiempo real, consultar mis balances, cálculo e información sobre mora",Opinion Scale,Average Score,4.9,Total Responses,56,,,
8f66ceec,¿Qué tan importante y útil es para ti la validación de vida mediante foto de cédula y rostro,Opinion Scale,Average Score,4.7,Total Responses,56,,,
4c9c65f4,"¿Qué tan importante y útil es para ti contar con soporte por web, app o WhatsApp?",Opinion Scale,Average Score,4.7,Total Responses,56,,,
67a3bb1f,"¿Qué tan importante y útil es para ti la comunicación constante sobre estado, próximo pagos, mora del préstamos?",Opinion Scale,Average Score,4.8,Total Responses,56,,,
2966ae4d,"¿Qué tan importante y útil es para ti contar con tutoriales sobre cómo solicitar, pagar, gestionar tu préstamos post deseembolso?",Opinion Scale,Average Score,4.5,Total Responses,56,,,
7fc6d6b1,¿Qué tan importante y útil es para ti disponer de pago automático desde cuenta CIBAO por defecto?,Opinion Scale,Average Score,4.6,Total Responses,56,,,
